Product_ID,Product_Name,Category,Brand,Price,Rating,Description,Seller,City,State,Stock_Quantity,Discount_Percentage,Features
P00001,Boat Electronic Model 509,Electronics,Boat,72396,3.5,Boat electronics product with premium features.,Seller_72,Mumbai,West Bengal,379,69,"Electronics,Boat,Boat electronics product with premium features."
P00002,Apple Mobile Model 7012,Mobiles,Apple,8630,3.1,Apple mobiles product with premium features.,Seller_112,Bengaluru,Tamil Nadu,308,3,"Mobiles,Apple,Apple mobiles product with premium features."
P00003,Samsung Home Appliance Model 9028,Home Appliances,Samsung,110273,3.4,Samsung home appliances product with premium features.,Seller_302,Hyderabad,Gujarat,445,0,"Home Appliances,Samsung,Samsung home appliances product with premium features."
P00004,Asus Laptop Model 5674,Laptops,Asus,73141,3.3,Asus laptops product with premium features.,Seller_491,Chennai,Maharashtra,47,48,"Laptops,Asus,Asus laptops product with premium features."
P00005,Realme Mobile Model 5735,Mobiles,Realme,69641,4.6,Realme mobiles product with premium features.,Seller_374,Ahmedabad,Tamil Nadu,63,48,"Mobiles,Realme,Realme mobiles product with premium features."
P00006,Apple Mobile Model 4903,Mobiles,Apple,95099,4.2,Apple mobiles product with premium features.,Seller_361,Mumbai,Maharashtra,338,29,"Mobiles,Apple,Apple mobiles product with premium features."
P00007,Puma Clothin Model 3914,Clothing,Puma,26775,3.8,Puma clothing product with premium features.,Seller_233,Chennai,Delhi,189,45,"Clothing,Puma,Puma clothing product with premium features."
P00008,Lenovo Laptop Model 1269,Laptops,Lenovo,45161,4.1,Lenovo laptops product with premium features.,Seller_126,Delhi,Telangana,194,34,"Laptops,Lenovo,Lenovo laptops product with premium features."
P00009,Sony Electronic Model 5413,Electronics,Sony,14962,3.5,Sony electronics product with premium features.,Seller_17,Chennai,Telangana,137,8,"Electronics,Sony,Sony electronics product with premium features."
P00010,Acer Laptop Model 5255,Laptops,Acer,56037,4.3,Acer laptops product with premium features.,Seller_203,Ahmedabad,Delhi,135,17,"Laptops,Acer,Acer laptops product with premium features."
P00011,Acer Laptop Model 8930,Laptops,Acer,69175,4.5,Acer laptops product with premium features.,Seller_220,Kolkata,Karnataka,112,17,"Laptops,Acer,Acer laptops product with premium features."
P00012,Philips Home Appliance Model 1589,Home Appliances,Philips,12650,4.7,Philips home appliances product with premium features.,Seller_79,Delhi,Gujarat,348,54,"Home Appliances,Philips,Philips home appliances product with premium features."
P00013,LG Home Appliance Model 6404,Home Appliances,LG,100338,4.2,LG home appliances product with premium features.,Seller_240,Hyderabad,Tamil Nadu,440,1,"Home Appliances,LG,LG home appliances product with premium features."
P00014,Boat Electronic Model 8897,Electronics,Boat,70245,4.5,Boat electronics product with premium features.,Seller_175,Mumbai,Karnataka,222,20,"Electronics,Boat,Boat electronics product with premium features."
P00015,Nike Footwea Model 4415,Footwear,Nike,131524,4.5,Nike footwear product with premium features.,Seller_260,Mumbai,Gujarat,320,38,"Footwear,Nike,Nike footwear product with premium features."
P00016,Sony Electronic Model 2604,Electronics,Sony,98318,4.5,Sony electronics product with premium features.,Seller_277,Pune,Tamil Nadu,165,62,"Electronics,Sony,Sony electronics product with premium features."
P00017,Samsung Mobile Model 6047,Mobiles,Samsung,80911,3.5,Samsung mobiles product with premium features.,Seller_124,Mumbai,Maharashtra,374,62,"Mobiles,Samsung,Samsung mobiles product with premium features."
P00018,Apple Mobile Model 2160,Mobiles,Apple,33956,4.3,Apple mobiles product with premium features.,Seller_485,Delhi,Karnataka,270,54,"Mobiles,Apple,Apple mobiles product with premium features."
P00019,Acer Laptop Model 3395,Laptops,Acer,82013,3.8,Acer laptops product with premium features.,Seller_344,Chennai,Telangana,460,66,"Laptops,Acer,Acer laptops product with premium features."
P00020,Nike Footwea Model 4161,Footwear,Nike,59202,3.1,Nike footwear product with premium features.,Seller_11,Bengaluru,Tamil Nadu,112,0,"Footwear,Nike,Nike footwear product with premium features."
P00021,Vivo Mobile Model 1064,Mobiles,Vivo,60314,3.1,Vivo mobiles product with premium features.,Seller_17,Chennai,Maharashtra,263,30,"Mobiles,Vivo,Vivo mobiles product with premium features."
P00022,Wrogn Clothin Model 3610,Clothing,Wrogn,141655,3.3,Wrogn clothing product with premium features.,Seller_479,Ahmedabad,Delhi,401,60,"Clothing,Wrogn,Wrogn clothing product with premium features."
P00023,Adidas Footwea Model 1645,Footwear,Adidas,25708,4.3,Adidas footwear product with premium features.,Seller_182,Kolkata,Telangana,239,6,"Footwear,Adidas,Adidas footwear product with premium features."
P00024,Boat Electronic Model 1093,Electronics,Boat,105843,4.5,Boat electronics product with premium features.,Seller_410,Mumbai,Delhi,98,24,"Electronics,Boat,Boat electronics product with premium features."
P00025,Philips Home Appliance Model 2396,Home Appliances,Philips,110892,3.4,Philips home appliances product with premium features.,Seller_237,Bengaluru,Gujarat,472,9,"Home Appliances,Philips,Philips home appliances product with premium features."
P00026,Nike Footwea Model 928,Footwear,Nike,142010,4.7,Nike footwear product with premium features.,Seller_497,Mumbai,Gujarat,434,30,"Footwear,Nike,Nike footwear product with premium features."
P00027,Asus Laptop Model 8056,Laptops,Asus,126484,3.4,Asus laptops product with premium features.,Seller_206,Pune,Delhi,194,0,"Laptops,Asus,Asus laptops product with premium features."
